image_path,label,source_dataset,generator,split,license_notes
data/raw/cifake/archive/train/REAL/4071 (10).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/5800 (5).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/4270 (9).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/0295 (6).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/1822.jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/1813 (2).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/2710 (8).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/5435 (9).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/3952 (5).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/3466 (5).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4550.jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/5308 (9).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4938 (10).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4781 (5).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/4949 (9).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4482 (4).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/2067 (10).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/0451 (7).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/4416 (10).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/3998 (7).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/0557 (3).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/5559 (5).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/2965.jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/5053 (5).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/0493 (10).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/1178 (4).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4708 (2).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/REAL/0625 (9).jpg,0,cifake,cifar10,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4361 (10).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/2072 (10).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
data/raw/cifake/archive/train/FAKE/4437 (8).jpg,1,cifake,stable_diffusion,train,CIFAKE public Kaggle dataset; verify terms before submission
