dataset,condition,count,auc,accuracy,true_positive,true_negative,false_positive,false_negative,false_positive_rate,false_negative_rate,mean_real_score,mean_fake_score,score_gap_fake_minus_real
SID_Set,clean,1000,0.974956,0.921,470,451,49,30,0.098,0.06,0.192793,0.815438,0.622645
SID_Set,blur_s0_5,1000,0.975028,0.923,470,453,47,30,0.094,0.06,0.192183,0.814349,0.622166
SID_Set,blur_s1_0,1000,0.973692,0.92,470,450,50,30,0.1,0.06,0.197619,0.811636,0.614018
SID_Set,blur_s2_0,1000,0.970332,0.909,465,444,56,35,0.112,0.07,0.215517,0.804463,0.588946
SID_Set,center_crop_80,1000,0.973828,0.919,460,459,41,40,0.082,0.08,0.180314,0.792159,0.611845
SID_Set,color_jitter_20,1000,0.975624,0.925,472,453,47,28,0.094,0.056,0.206572,0.833052,0.62648
SID_Set,jpeg_q30,1000,0.96326,0.908,456,452,48,44,0.096,0.088,0.200369,0.768247,0.567878
SID_Set,jpeg_q50,1000,0.96962,0.916,459,457,43,41,0.086,0.082,0.188143,0.781887,0.593744
SID_Set,jpeg_q70,1000,0.971432,0.92,463,457,43,37,0.086,0.074,0.187926,0.7932,0.605275
SID_Set,jpeg_q90,1000,0.973416,0.922,469,453,47,31,0.094,0.062,0.191621,0.80624,0.614618
SID_Set,noise_s0_02,1000,0.97212,0.918,458,460,40,42,0.08,0.084,0.175417,0.782498,0.607081
SID_Set,noise_s0_05,1000,0.96596,0.899,431,468,32,69,0.064,0.138,0.156072,0.726754,0.570682
SID_Set,noise_s0_10,1000,0.95708,0.866,388,478,22,112,0.044,0.224,0.137908,0.657304,0.519396
SID_Set,resize_0_25,1000,0.972296,0.915,472,443,57,28,0.114,0.056,0.218477,0.816922,0.598445
SID_Set,resize_0_5,1000,0.974312,0.922,471,451,49,29,0.098,0.058,0.196196,0.813847,0.617651
CIFAKE,clean,1000,0.874984,0.805,387,418,82,113,0.164,0.226,0.320325,0.655129,0.334805
CIFAKE,blur_s0_5,1000,0.858424,0.765,311,454,46,189,0.092,0.378,0.26198,0.555955,0.293975
CIFAKE,blur_s1_0,1000,0.795828,0.717,344,373,127,156,0.254,0.312,0.405142,0.58292,0.177778
CIFAKE,blur_s2_0,1000,0.666618,0.609,231,378,122,269,0.244,0.538,0.432608,0.49326,0.060652
CIFAKE,center_crop_80,1000,0.846776,0.781,364,417,83,136,0.166,0.272,0.329632,0.611607,0.281976
CIFAKE,color_jitter_20,1000,0.865176,0.781,432,349,151,68,0.302,0.136,0.411364,0.721968,0.310604
CIFAKE,jpeg_q30,1000,0.827656,0.75,402,348,152,98,0.304,0.196,0.41299,0.670067,0.257077
CIFAKE,jpeg_q50,1000,0.839744,0.768,384,384,116,116,0.232,0.232,0.369042,0.648577,0.279535
CIFAKE,jpeg_q70,1000,0.875666,0.8,390,410,90,110,0.18,0.22,0.322339,0.659224,0.336885
CIFAKE,jpeg_q90,1000,0.8755,0.799,382,417,83,118,0.166,0.236,0.318575,0.651514,0.332939
CIFAKE,noise_s0_02,1000,0.843888,0.669,191,478,22,309,0.044,0.618,0.179873,0.438623,0.25875
CIFAKE,noise_s0_05,1000,0.794152,0.599,108,491,9,392,0.018,0.784,0.18255,0.357049,0.174499
CIFAKE,noise_s0_10,1000,0.737256,0.628,156,472,28,344,0.056,0.688,0.277129,0.410063,0.132934
CIFAKE,resize_0_25,1000,0.68988,0.622,293,329,171,207,0.342,0.414,0.454342,0.533821,0.079479
CIFAKE,resize_0_5,1000,0.794746,0.729,388,341,159,112,0.318,0.224,0.427475,0.617743,0.190268
WildFake,clean,997,0.476628,0.525577,176,348,149,324,0.299799,0.648,0.405725,0.39772,-0.008005
WildFake,blur_s0_5,997,0.434374,0.498495,164,333,164,336,0.32998,0.672,0.417451,0.379727,-0.037724
WildFake,blur_s1_0,997,0.399771,0.469408,154,314,183,346,0.368209,0.692,0.439187,0.377114,-0.062073
WildFake,blur_s2_0,997,0.347103,0.460381,110,349,148,390,0.297787,0.78,0.414507,0.321502,-0.093005
WildFake,center_crop_80,997,0.437702,0.492477,153,338,159,347,0.31992,0.694,0.414816,0.378558,-0.036258
WildFake,color_jitter_20,997,0.491954,0.53661,188,347,150,312,0.301811,0.624,0.409902,0.415025,0.005123
WildFake,jpeg_q30,997,0.361529,0.434303,145,288,209,355,0.420523,0.71,0.453851,0.358302,-0.095549
WildFake,jpeg_q50,997,0.399276,0.472417,149,322,175,351,0.352113,0.702,0.428864,0.364365,-0.064499
WildFake,jpeg_q70,997,0.417775,0.488465,154,333,164,346,0.32998,0.692,0.422064,0.370105,-0.051959
WildFake,jpeg_q90,997,0.435646,0.50652,155,350,147,345,0.295775,0.69,0.407862,0.370343,-0.037519
WildFake,noise_s0_02,997,0.430704,0.535607,91,443,54,409,0.108652,0.818,0.298772,0.276034,-0.022737
WildFake,noise_s0_05,997,0.290829,0.47342,61,411,86,439,0.173038,0.878,0.328237,0.208577,-0.119661
WildFake,noise_s0_10,997,0.447254,0.49348,102,390,107,398,0.215292,0.796,0.361238,0.337564,-0.023673
WildFake,resize_0_25,997,0.457191,0.492477,174,317,180,326,0.362173,0.652,0.438438,0.416454,-0.021985
WildFake,resize_0_5,997,0.451642,0.490471,181,308,189,319,0.380282,0.638,0.440991,0.412451,-0.02854
