dataset,condition,new_false_positives,new_false_negatives,clean_correct_to_transformed_wrong
CIFAKE,blur_s0_5,5,82,87
CIFAKE,blur_s1_0,88,102,190
CIFAKE,blur_s2_0,91,205,296
CIFAKE,center_crop_80,35,59,94
CIFAKE,color_jitter_20,76,5,81
CIFAKE,jpeg_q30,94,43,137
CIFAKE,jpeg_q50,62,40,102
CIFAKE,jpeg_q70,19,10,29
CIFAKE,jpeg_q90,9,12,21
CIFAKE,noise_s0_02,3,199,202
CIFAKE,noise_s0_05,1,284,285
CIFAKE,noise_s0_10,16,242,258
CIFAKE,resize_0_25,125,154,279
CIFAKE,resize_0_5,114,66,180
SID_Set,blur_s1_0,4,0,4
SID_Set,blur_s2_0,17,9,26
SID_Set,center_crop_80,11,15,26
SID_Set,color_jitter_20,9,4,13
SID_Set,jpeg_q30,9,16,25
SID_Set,jpeg_q50,2,11,13
SID_Set,jpeg_q70,1,7,8
SID_Set,jpeg_q90,1,2,3
SID_Set,noise_s0_02,1,12,13
SID_Set,noise_s0_05,3,39,42
SID_Set,noise_s0_10,4,86,90
SID_Set,resize_0_25,16,3,19
SID_Set,resize_0_5,2,0,2
WildFake,blur_s0_5,19,20,39
WildFake,blur_s1_0,49,39,88
WildFake,blur_s2_0,56,85,141
WildFake,center_crop_80,45,50,95
WildFake,color_jitter_20,19,11,30
WildFake,jpeg_q30,72,46,118
WildFake,jpeg_q50,39,35,74
WildFake,jpeg_q70,26,29,55
WildFake,jpeg_q90,7,24,31
WildFake,noise_s0_02,0,88,88
WildFake,noise_s0_05,21,119,140
WildFake,noise_s0_10,82,142,224
WildFake,resize_0_25,78,43,121
WildFake,resize_0_5,55,26,81
